;År;Kommunenr;Kommunenavn;Arbeiderpartiet;Fremskrittspartiet;Høyre;Kristelig Folkeparti;Senterpartiet;Sosialistisk Venstreparti;Venstre;Miljøpartiet de Grønne;Rødt;Andre lister;stemmer totalt;Arbeiderpartiet-prosent;Fremskrittspartiet-prosent;Høyre-prosent;Kristelig Folkeparti-prosent;Senterpartiet-prosent;Sosialistisk Venstreparti-prosent;Venstre-prosent;Miljøpartiet de Grønne-prosent;Rødt-prosent;Andre lister-prosent
3917;2015;5415;Loabák;172;46;67;19;194;3;2;4;11;0;518;0.332;0.089;0.129;0.037;0.375;0.006;0.004;0.008;0.021;0.0
3918;2015;5416;Bardu;510;100;330;21;386;28;73;29;22;2;1501;0.34;0.067;0.22;0.014;0.257;0.019;0.049;0.019;0.015;0.001
3919;2015;5417;Salangen;338;52;74;28;420;50;5;17;23;1;1008;0.335;0.052;0.073;0.028;0.417;0.05;0.005;0.017;0.023;0.001
3920;2015;5418;Målselv;933;209;435;43;450;95;376;77;60;5;2683;0.348;0.078;0.162;0.016;0.168;0.035;0.14;0.029;0.022;0.002
3921;2015;5419;Sørreisa;530;180;180;57;233;50;33;35;20;4;1322;0.401;0.136;0.136;0.043;0.176;0.038;0.025;0.026;0.015;0.003
3922;2015;5420;Dyrøy;141;142;51;16;159;28;10;11;7;1;566;0.249;0.251;0.09;0.028;0.281;0.049;0.018;0.019;0.012;0.002
3923;2015;5421;Senja;1780;871;940;243;828;239;270;122;101;15;5409;0.329;0.161;0.174;0.045;0.153;0.044;0.05;0.023;0.019;0.003
3924;2015;5422;Balsfjord;827;292;299;137;365;50;26;78;74;11;2159;0.383;0.135;0.138;0.063;0.169;0.023;0.012;0.036;0.034;0.005
3925;2015;5423;Karlsøy;247;156;66;12;132;45;11;32;39;6;746;0.331;0.209;0.088;0.016;0.177;0.06;0.015;0.043;0.052;0.008
3926;2015;5424;Lyngen;317;155;145;256;129;13;18;69;23;3;1128;0.281;0.137;0.129;0.227;0.114;0.012;0.016;0.061;0.02;0.003
3927;2015;5425;Storfjord;256;119;139;33;108;31;6;50;54;4;800;0.32;0.149;0.174;0.041;0.135;0.039;0.008;0.062;0.068;0.005
3928;2015;5426;Gáivuotna;257;98;40;119;195;15;6;71;47;3;851;0.302;0.115;0.047;0.14;0.229;0.018;0.007;0.083;0.055;0.004
3929;2015;5427;Skjervøy;261;193;75;115;170;97;15;21;23;4;974;0.268;0.198;0.077;0.118;0.175;0.1;0.015;0.022;0.024;0.004
