;År;Kommunenr;Kommunenavn;Boligbebyggelse;Fritidsbebyggelse;Bebygd område for landbruk og fiske;Næring. offentlig og privat tjenesteyting;Undervisning og barnehage;Helse- og sosialinstitusjoner;Kultur og religiøse aktiviteter;Transport. telekommunikasjon og teknisk infrastruktur;Beredskapstjenester og Forsvaret;Grønne områder. idretts- og sportsområder;Uklassifisert bebyggelse og anlegg;Jordbruksareal;Skog;Åpen fastmark;Våtmark;Bart fjell. grus- og blokkmark;Varig snø. is og bre;Ferskvann;Uklassifisert ubebygd område
4734;2011;1526;Stordal;0.0011;0.0015;0.0012;0.0008;0.0;0.0;1e-04;0.0032;0.0;0.0013;1e-04;0.0212;0.3252;0.4577;0.0287;0.1409;0.0;0.0168;0.0
4735;2013;1526;Stordal;0.0011;0.0015;0.0013;0.0008;0.0;0.0;1e-04;0.0034;0.0;0.0013;0.0002;0.0195;0.327;0.4574;0.0287;0.141;0.0;0.0166;0.0
4736;2014;1526;Stordal;0.0011;0.0016;0.0013;0.0008;0.0;0.0;1e-04;0.0034;0.0;0.0013;0.0002;0.0195;0.3274;0.4567;0.0286;0.1419;1e-04;0.0159;0.0
4737;2015;1526;Stordal;0.0011;0.0017;0.0013;0.0008;0.0;0.0;1e-04;0.0033;0.0;0.0013;0.0002;0.0195;0.3273;0.4567;0.0286;0.1419;1e-04;0.0159;0.0
4738;2016;1526;Stordal;0.0011;0.0019;0.0013;0.0008;0.0;0.0;1e-04;0.0034;0.0;0.0012;0.0002;0.0191;0.3278;0.4568;0.0285;0.1419;1e-04;0.0159;0.0
4739;2017;1526;Stordal;0.0011;0.0019;0.0014;0.0006;0.0;0.0;1e-04;0.0033;0.0;0.0012;0.0002;0.0191;0.3279;0.4568;0.0286;0.1419;1e-04;0.0159;0.0
4740;2018;1526;Stordal;0.0011;0.0019;0.0013;0.0008;0.0;0.0;1e-04;0.0033;0.0;0.0012;0.0002;0.0193;0.3276;0.4566;0.0286;0.1419;1e-04;0.0159;0.0
4741;2019;1526;Stordal;0.0011;0.0019;0.0013;0.0008;0.0;0.0;1e-04;0.0033;0.0;0.0012;0.0002;0.0193;0.3276;0.4567;0.0286;0.1419;1e-04;0.0159;0.0
4752;2011;1528;Sykkylven;0.0062;0.0017;0.0034;0.0021;0.0004;1e-04;1e-04;0.0075;0.0;0.0011;0.0011;0.0401;0.3855;0.373;0.0364;0.1019;0.0103;0.0291;0.0
4753;2013;1528;Sykkylven;0.0063;0.0017;0.0033;0.0021;0.0004;1e-04;1e-04;0.0075;0.0;0.0012;0.0011;0.0408;0.3847;0.373;0.0364;0.1018;0.0104;0.0291;0.0
4754;2014;1528;Sykkylven;0.0064;0.0017;0.0033;0.0021;0.0004;1e-04;1e-04;0.0074;0.0;0.0012;0.0011;0.0433;0.3825;0.3727;0.0364;0.1018;0.0104;0.029;0.0
4755;2015;1528;Sykkylven;0.0064;0.0019;0.0032;0.0022;0.0003;1e-04;1e-04;0.0083;0.0;0.0009;0.0009;0.0431;0.3815;0.3729;0.0363;0.1018;0.0104;0.0296;0.0
4756;2016;1528;Sykkylven;0.0064;0.0019;0.0032;0.0022;0.0003;1e-04;1e-04;0.0081;0.0;0.0009;0.0009;0.0432;0.3816;0.3729;0.0363;0.1018;0.0104;0.0297;0.0
4757;2017;1528;Sykkylven;0.0064;0.002;0.0032;0.0023;0.0003;1e-04;1e-04;0.008;0.0;0.0009;0.0009;0.0432;0.3818;0.3729;0.0364;0.1018;0.0104;0.0294;0.0
4758;2018;1528;Sykkylven;0.0065;0.002;0.0032;0.0023;0.0003;1e-04;1e-04;0.0082;0.0;0.0009;0.001;0.0432;0.3816;0.3728;0.0364;0.1018;0.0104;0.0294;0.0
4759;2019;1528;Sykkylven;0.0065;0.0021;0.0031;0.0023;0.0003;1e-04;1e-04;0.0082;0.0;0.0009;0.001;0.0433;0.3812;0.3727;0.0363;0.1018;0.0104;0.0297;0.0
4760;2020;1528;Sykkylven;0.0065;0.0021;0.0032;0.0026;0.0002;1e-04;1e-04;0.0083;0.0;0.0011;0.001;0.0432;0.3809;0.3726;0.0362;0.1018;0.0104;0.0297;0.0
4761;2011;1529;Skodje;0.0112;0.0036;0.0047;0.0029;0.0003;1e-04;0.0002;0.0187;1e-04;0.0043;0.0017;0.0459;0.6706;0.1181;0.0376;0.0003;0.0;0.0796;0.0
4762;2013;1529;Skodje;0.0119;0.0038;0.0047;0.0031;0.0003;0.0002;0.0002;0.0198;0.0;0.0046;0.0015;0.0466;0.6683;0.1176;0.0375;0.0003;0.0;0.0794;0.0
4763;2014;1529;Skodje;0.0122;0.0039;0.0048;0.0028;0.0005;1e-04;0.0002;0.0197;1e-04;0.0046;0.0017;0.0464;0.6643;0.122;0.037;0.0003;0.0;0.0793;0.0
4764;2015;1529;Skodje;0.0125;0.0039;0.0049;0.003;0.0005;0.0002;0.0002;0.0185;1e-04;0.0047;0.0017;0.0465;0.6646;0.122;0.037;0.0003;0.0;0.0793;0.0
4765;2016;1529;Skodje;0.0126;0.004;0.0048;0.0034;0.0005;1e-04;0.0002;0.0182;0.0;0.0046;0.0015;0.0467;0.6644;0.1223;0.037;0.0003;0.0;0.0793;0.0
4766;2017;1529;Skodje;0.0127;0.004;0.0049;0.0037;0.0005;0.0002;0.0002;0.0191;0.0;0.0037;0.0014;0.0466;0.6651;0.1215;0.0369;0.0003;0.0;0.0792;0.0
4767;2018;1529;Skodje;0.0127;0.004;0.0049;0.0042;0.0005;0.0002;0.0002;0.0192;1e-04;0.0037;0.0015;0.0464;0.6647;0.1211;0.0368;0.0003;0.0;0.0792;0.0
4768;2019;1529;Skodje;0.0128;0.0041;0.0049;0.0047;0.0006;0.0002;0.0003;0.019;1e-04;0.0037;0.0015;0.0465;0.6645;0.1206;0.0367;0.0003;0.0;0.0794;0.0
